brand,gender,colorway,priceGroup
Nike,child,Black University Red White,<100
Nike,men,White Game Royal,100-150
Jordan,child,White Tech Grey Black Fire Red,150-200
Jordan,preschool,White Tech Grey Black Fire Red,150-200
Jordan,men,White Tech Grey Black Fire Red,150-200
Jordan,toddler,White Tech Grey Black Fire Red,150-200
Jordan,men,Black White-Light Smoke Grey,150-200
Jordan,women,White Bright Citrus,150-200
Jordan,men,White White-Black-Legend Blue,150-200
Jordan,men,Hyper Royal Light Smoke Grey-White,150-200
Jordan,women,Sail Rust Pink-White-Crimson,150-200
Jordan,preschool,Varsity Red Black-White,<100
Jordan,toddler,Varsity Red Black-White,<100
Jordan,men,Varsity Red Black-White,150-200
Jordan,child,Anthracite Wolf Grey-Clear-Black,100-150
Jordan,child,Varsity Red Black-White,100-150
Jordan,men,White White-Multi-Color,150-200
Reebok,men,White Grey Volt,100-150
Nike,men,Black White-Amarillo-Court Purple,150-200
adidas,men,Sand Sand Sand,<100
adidas,men,Moon Gray Moon Gray Moon Gray,<100
adidas,men,Chalk White Gum,<100
adidas,men,Black Gum,<100
Jordan,preschool,White Arctic Punch-Hyper Pink,<100
adidas,men,Blue Core White Core Black,>300
adidas,men,Khaki Khaki,>300
Jordan,toddler,White Arctic Punch-Hyper Pink,<100
adidas,men,Core White Core White Core Black,>300
Jordan,child,White Arctic Punch-Hyper Pink,100-150
Converse,men,Black White,150-200
Converse,men,Washed Black Washed Black,250-300
Asics,men,Bamboo Bamboo White,>300
Nike,men,Black Light Blue-White,100-150
adidas,men,Black Black-Green,150-200
Nike,men,Speed Yellow Shimmer-White-Siren Red-Black-Pure Platinum,100-150
adidas,men,Sea Teal Sea Teal Sea Teal,200-250
Nike,women,College Navy Grey,<100
adidas,men,Cloud White Hazy Sky-Core Black,<100
Nike,women,Orange Pearl White,<100
adidas,men,Covellite Covellite Covellite,200-250
adidas,men,Cream Cream Cream,250-300
Nike,men,Blue White-Gum,100-150
Nike,men,Particle Grey Chambray Blue,100-150
Nike,men,White Green-Gold,100-150
Nike,men,Sail Black-White,150-200
Nike,men,Black White Sail,150-200
Nike,men,Black Black-Varsity Red,150-200
Nike,men,Wolf Grey Lime,100-150
Nike,women,White Orange Blaze,100-150
Nike,men,White Black,100-150
Nike,men,White Orange Blaze,100-150
Nike,men,Barely Green Black,100-150
Nike,men,Blue Teal Light Blue,100-150
Nike,toddler,Black   Black   Platinum Tint   Glacier Ice,<100
Jordan,child,White University Blue-Black,100-150
Reebok,men,White Black,100-150
Nike,preschool,Black   Black   Platinum Tint   Glacier Ice,100-150
adidas,men,Cloud White Cloud White,150-200
Reebok,men,Wild Brown Maroon Matte Gold,100-150
Reebok,men,Stucco Wild Brown Modern Beige,100-150
Jordan,men,White University Blue-Black,150-200
Nike,child,Black   Black   Platinum Tint   Glacier Ice,150-200
Nike,men,Galactic Jade Midnight Navy,100-150
adidas,men,Footwear White Hazy Copper-Cream White,<100
Nike,men,Velvet Brown Dark Russet-Dark Curry-Sail,100-150
Jordan,men,Natural Natural Infrared-Gum,100-150
adidas,men,Black White,200-250
Nike,men,Barkroot Brown Metallic Gold-White,100-150
Nike,men,Multi-Color Multi-Color,100-150
Nike,men,Mean Green Metallic Gold-White,100-150
Jordan,men,White Tech Grey-Black-Fire Red,200-250
adidas,men,Halsil,<100
Nike,men,Hyper Royal Metallic Gold-White,100-150
Nike,men,Black Metallic Gold-White,100-150
New Balance,men,Black White Grey,150-200
Jordan,men,Terra Blush Terra Blush Tan,100-150
adidas,men,Dark Brown Off White Simple Brown,<100
adidas,men,Simple Brown Dark Brown Wild Brown,<100
adidas,men,Cloud White Cloud White-Core Black,150-200
adidas,men,Screaming Orange Yellow Tint-Cloud White,100-150
New Balance,men,Navy Olive-Orange,100-150
New Balance,men,Munsell White Holly Green,100-150
Nike,men,White Vast Grey Volt Total Orange,150-200
Nike,men,Grey White-Royal,150-200
New Balance,men,White Navy-Pink,100-150
Nike,men,Black Vast Grey Volt Total Orange,150-200
New Balance,men,Munsell White Holly Green,100-150
adidas,men,Ash Pearl Ash Pearl Ash Pearl,200-250
Jordan,men,Taupe Haze Oil Grey-Off White-Infrared 23,150-200
adidas,men,Ash Stone Ash Stone Ash Stone,200-250
adidas,men,Black Carbon-Teal,150-200
Nike,men,Mystic Green Black-Metallic Silver-Metallic Gold,200-250
Nike,women,Teal Teal White,100-150
Nike,men,Dyed Red Grey Natural,100-150
New Balance,men,Grey Grey,250-300
Nike,men,White Vast Grey,100-150
Nike,men,Pink Foam White University Red-Pine Green,100-150
Nike,women,Sail Football Grey-Pale Ivory,100-150
Nike,men,White White University Red-Pine Green,100-150
Reebok,men,Black Black Black,250-300
Nike,men,White Black Multicolor,150-200
adidas,men,Grey Three Cloud White-Gum,100-150
Reebok,men,White White White,250-300
Nike,men,Fireberry Black Light Blue Fury,150-200
Nike,men,Green White-Translucent,100-150
Jordan,men,Silver Light Graphite-Orange Peel-Sport Red,150-200
Nike,men,Grey Black-White,100-150
adidas,men,Kyanite Kyanite Kyanite,150-200
Asics,men,Blue White Black,250-300
adidas,women,White Core White Off-White,150-200
Converse,men,Black Black-Blue,<100
adidas,women,Cream White Gum,100-150
Nike,men,White Scream Green-Royal Blue-Black,100-150
adidas,men,Cream White Gum,100-150
adidas,women,Silver Grey,150-200
Nike,men,Off-Noir Dark Smoke Grey-White-Light Silver,<100
adidas,women,Footwear White Footwear White Footwear White,150-200
Jordan,women,Black Metallic Silver White,<100
adidas,women,White Core White,100-150
Asics,men,Pink White Black,250-300
Converse,men,Parchment Parchment-Blue,<100
Jordan,women,Black Metallic Silver-White-Black,150-200
Nike,men,Black White Hyper Cobalt,<100
Nike,men,Medium Grey White Varsity Red,100-150
Nike,women,Sail Coast-University Gold,<100
Converse,men,White Red Blue,<100
Nike,men,Black Black Varsity Red,150-200
New Balance,men,Black Navy-Multi,250-300
Asics,men,White White-Red-Blue,100-150
Reebok,men,Red Black-Gum,150-200
Asics,men,White Black Yellow,100-150
Reebok,men,White Light Blue,<100
adidas,men,Crystal White Navy Royal,<100
adidas,men,White White-White,<100
Jordan,men,White Black-Psychic Purple-Hyper Pink,100-150
Nike,men,White Varsity Purple-Black,150-200
Nike,men,Black Anthracite Racer Blue,100-150
adidas,men,Cloud White Core Black-Crystal White,100-150
Nike,men,Dark Charcoal Celery-Saturn Red,150-200
Nike,men,White Celestine Blue Volt,100-150
Nike,men,Black Black-Reflective,150-200
Nike,men,White Black-Teal,150-200
Nike,men,Black Dynamic Turquoise Hyper Crimson,100-150
Nike,men,Black Neon Yellow-Medium Grey,150-200
Jordan,toddler,White Black-Carmine,<100
Jordan,preschool,White Black-Carmine,<100
Jordan,child,White Black-Carmine,100-150
Jordan,preschool,White Carmine Black,<100
Jordan,men,White Black-Carmine,150-200
Nike,men,Black Black Black,>300
Nike,men,Desert Oak Reed-Light Straw,100-150
Nike,men,Dark Olive White-Varsity Maize-Ivory,100-150
Reebok,men,Sandtrap Cliff Stone,100-150
Nike,men,Black Black-Barely Green-Barely Green,200-250
Nike,men,Black Anthracite-Grey,150-200
Nike,men,Black Silver-Black,100-150
Jordan,men,Sepia Stone Terra Blush-Desert Sand,150-200
